"","titles","prices","years"
"1",NA,NA,NA
"2",NA,NA,NA
"3","Toyota 110",550000,"1998"
"4","Nissan ex",1e+05,"1991"
"5","Mercedes RHD",7700000,"2016"
"6","Mercedes 350",2600000,"2008"
"7","Toyota NOW",1150000,"2013"
"8","Nissan NOW",1450000,"2013"
"9","Toyota Altezza",890000,"2003"
"10","Toyota Coaster",650000,"1996"
"11","Honda Crv",1250000,"2008"
"12","Toyota X",2150000,"2010"
"13",NA,NA,NA
"14","Honda Inspire",380000,"1996"
"15","Honda Inspire",2e+06,"2012"
"16","Mitsubishi lancer",450000,"2003"
"17","Toyota Altis",680000,"2005"
"18","Honda Civic",235000,"1993"
"19","Mercedes Kompressor",1200000,"2003"
"20","Toyota Harrier",1400000,"2003"
"21","Honda Accord",2600000,"2014"
"22","Toyota Vitz",1230000,"2012"
"23","Honda Civic",3300000,"2016"
"24",NA,NA,NA
"25","Hyundai Accent",3e+05,"2003"
"26","Leyland Daf",3e+06,"1999"
"27","Nissan sunny",680000,"2005"
"28","BMW 318I",280000,"1998"
"29","BMW X3",1550000,"2004"
"30","Acura MDX",5800000,"2014"
"31","Nissan Caravan",1200000,"2006"
"32","Honda Accord",1200000,"2007"
"33","Honda Crv",715000,"2001"
"34","Volkswagen GTI",460000,"1992"
"35",NA,NA,NA
"36","Honda Civic",2500000,"2015"
"37","Honda CRV",2100000,"2011"
"38","Subaru Legacy",410000,"1999"
"39","Honda Civic",5e+05,"2000"
"40","Mitsubishi Elegance",850000,"2005"
"41","Mercedes BiTurbo",1.6e+07,"2016"
"42","Honda CRV",3300000,"2013"
"43","Toyota Rav4",3190000,"2014"
"44","Toyota Vigo",2650000,"2010"
"45","Honda Accord",620000,"1998"
"46",NA,NA,NA
"47","Toyota Vigo",2650000,"2010"
"48","Suzuki Swift",1120000,"2012"
"49","Honda Civic",650000,"2002"
"50","Nissan Sylphy",440000,"2000"
"51","Toyota Caldina",670000,"2003"
"52","Nissan Tiida",940000,"2011"
"53","Honda Partner",420000,"2003"
"54","Toyota Belta",740000,"2006"
"55","Nissan AD",940000,"2012"
"56","Mazda Demio",7e+05,"2010"
"57",NA,NA,NA
"58","Honda Accord",14000,"1999"
"59","Toyota Carolla",4e+05,"1994"
"60","Honda CRV",1100000,"2002"
"61","Nissan Xtrail",750000,"2003"
"62","BMW 328i",3700000,"2013"
"63","Toyota Wish",1400000,"2008"
"64","Nissan bluebird",175000,"1990"
"65","Toyota Axio",1700000,"2012"
"66","Honda Civic",8e+05,"2005"
"67","Mitsubishi wagan",550000,"2001"
"68",NA,NA,NA
"69","Honda Fit",1799999,"2014"
"70","Nissan Star",1620000,"2012"
"71","Toyota 2WD",1650000,"2012"
"72","Honda Touring",2999999,"2016"
"73","Suzuki Swift",1650000,"2015"
"74","Suzuki Swift",1650000,"2015"
"75","Honda Sport",5100000,"2018"
"76","BMW 328i",3300000,"2013"
"77","Toyota SI",2700000,"2012"
"78","Toyota 1300cc",1499999,"2013"
"79",NA,NA,NA
"80","Honda Touring",5300000,"2017"
"81","Nissan Latio",1450000,"2013"
"82","Subaru 20T",1850000,"2012"
"83","Toyota 1300cc",1550000,"2013"
"84","Daihatsu MIRA",780000,"2013"
"85","Toyota Passo",330000,"2004"
"86","Nissan slyphy",850000,"2007"
"87","Honda HRV",4e+06,"2017"
"88","Nissan Sale",1e+05,"2012"
"89","Nissan Policy",1350000,"2013"
"90",NA,NA,NA
"91","Mitsubishi Libero",280000,"1995"
"92","Nissan Sylphy",2050000,"2013"
"93","Mercedes Kompressor",2650000,"2008"
"94","Honda RSZ",1e+06,"2006"
"95","Toyota Probox",1230000,"2013"
"96","Toyota Probox",1220000,"2013"
"97","Honda Fit",2250000,"2016"
"98","Toyota STARLET",390000,"1994"
"99","GMC 4500",450000,"2005"
"100","Toyota Harrier",920000,"2002"
"101",NA,NA,NA
"102","Nissan Xtrail",850000,"2005"
"103","Mazda premacy",780000,"2006"
"104","Honda CL7",840000,"2003"
"105","Isuzu Elf",3500000,"2011"
"106","Toyota vista",260000,"1996"
"107","Toyota Belta",780000,"2005"
"108","Toyota Axio",1450000,"2009"
"109","Nissan Note",1290000,"2013"
"110","Suzuki swift",1450000,"2014"
"111","Mitsubishi lancer",350000,"1998"
"112",NA,NA,NA
"113","Toyota rav4",675000,"1997"
"114","Honda civic",550000,"1999"
"115","Honda crv",675000,"1997"
"116","Nissan Tiida",1400000,"2012"
"117","Suzuki Swift",1550000,"2013"
"118","Nissan ADWagon",1150000,"2013"
"119","Nissan Dualis",3350000,"2013"
"120","Suzuki Swift",1550000,"2013"
"121","Hyundai Traget",9e+05,"2005"
"122","Toyota Premio",1885000,"2011"
"123",NA,NA,NA
"124","Subaru Impreza",2350000,"2014"
"125","BMW 520D",4950000,"2013"
"126","Nissan March",995000,"2012"
"127","Nissan NOTE",1650000,"2014"
"128","Toyota Camry",3150000,"2013"
"129","Toyota AXIO",2150000,"2013"
"130","Acura MDX",3800000,"2012"
"131","Toyota Isis",1750000,"2011"
"132","Isuzu ELF",2500000,"2007"
"133","BMW 525d",9e+05,"2007"
"134",NA,NA,NA
"135","Nissan Note",1480000,"2014"
"136","Honda S",2500000,"2011"
"137","Honda Fit",1700000,"2013"
"138","Subaru Impreza",1700000,"2013"
"139","Subaru G4",1790000,"2012"
"140","Nissan Sylphy",2100000,"2013"
"141","Honda Fit",2e+06,"2016"
"142","Nissan Sylphy",1800000,"2012"
"143","Subaru Impreza",1800000,"2013"
"144","Nissan Note",1290000,"2013"
"145",NA,NA,NA
"146","Suzuki Swift",1500000,"2014"
"147","Honda Fit",1740000,"2013"
"148","Subaru XV",2950000,"2013"
"149","Subaru Impreza",2250000,"2015"
"150","Nissan Note",1350000,"2013"
"151","Subaru XV",2750000,"2012"
"152","Subaru G4",1850000,"2012"
"153","Toyota Axio",2050000,"2014"
"154","Nissan Teana",2250000,"2013"
"155","Mazda Demio",9e+05,"2012"
"156",NA,NA,NA
"157","Toyota Levin",260000,"1992"
"158","Toyota Axio",1850000,"2014"
"159","Honda SPORT",2660000,"2013"
"160","Mitsubishi Fortes",775000,"2007"
"161","Subaru SPORTS",2050000,"2014"
"162","Honda Accord",525000,"1998"
"163","Suzuki XL7",620000,"2003"
"164","Suzuki Baleno",2e+05,"1999"
"165","Nissan DUALIS",965000,"2008"
"166","Honda CIVIC",1290000,"2008"
"167",NA,NA,NA
"168","Toyota AXIO",1580000,"2012"
"169","Toyota TRANSMISSION",59000,"2005"
"170","Honda FIT",1280000,"2012"
"171","Toyota PROBOX",1090000,"2012"
"172","Toyota IMPORTED",1190000,"2012"
"173","Honda VERSION",1190000,"2004"
"174","Nissan SALOON",645000,"2006"
"175","Honda CRV",2550000,"2011"
"176","Toyota FIELDER",1090000,"2007"
"177","Toyota RAV4",1120000,"2003"
"178",NA,NA,NA
"179","Honda CIVIC",695000,"2004"
"180","Nissan NOTE",645000,"2008"
"181","Toyota AXIO",1220000,"2009"
"182","Honda CIVIC",1290000,"2009"
"183","Kia RIO",1350000,"2013"
"184","Ford XLT",1490000,"2010"
"185","Toyota CORSA",395000,"1999"
"186","Nissan LATIO",735000,"2008"
"187","Toyota PASSO",915000,"2012"
"188","Subaru IMPREZA",685000,"2006"
"189",NA,NA,NA
"190","Nissan S",1995000,"2013"
"191","Suzuki VITARA",995000,"2007"
"192","Honda FIT",1780000,"2014"
"193","Honda FIT",685000,"2007"
"194","Mitsubishi SPORTS",735000,"2004"
"195","Nissan NOTE",1750000,"2014"
"196","Toyota PRADO",1090000,"2003"
"197","Mitsubishi GLX",695000,"2007"
"198","Honda CRV",2050000,"2010"
"199","Chevrolet AVEO",395000,"2004"
"200",NA,NA,NA
"201","Honda SIR",575000,"1999"
"202","Mitsubishi COLT",275000,"1999"
"203","Nissan LATIO",875000,"2009"
"204","Mazda PREMACY",865000,"2009"
"205","Honda CRV",2990000,"2012"
"206","Subaru FORRESTER",995000,"2007"
"207","Toyota HYBRID",1480000,"2013"
"208","Honda INTEGRA",375000,"1997"
"209","Toyota ALTIS",985000,"2005"
"210","Toyota PICNIC",995000,"2004"
"211",NA,NA,NA
"212","Nissan LAFESTA",1060000,"2011"
"213","Suzuki VITARA",1230000,"2007"
"214","Hyundai Touring",780000,"2009"
"215","Suzuki SX4",750000,"2008"
"216","BMW I",880000,"2002"
"217","Mercedes Sport",6100000,"2015"
"218","Toyota Corolla",1200000,"2009"
"219","Mitsubishi Galant",4e+05,"2001"
"220","Toyota Hybrid",2500000,"2012"
"221","Toyota Yaris",2200000,"2015"
"222",NA,NA,NA
"223","Honda Stream",1250000,"2008"
"224","Honda Civic",215000,"1998"
"225","Honda Sport",2300000,"2016"
"226","BMW 525i",1200000,"2004"
"227","Honda Stream",580000,"2002"
"228","Suzuki SWIFT",145000,"1993"
"229","Honda INTEGRA",395000,"1998"
"230","Nissan NOTE",495000,"2007"
"231","Nissan Tiida",750000,"2007"
"232","Toyota Flatty",320000,"1990"
"233",NA,NA,NA
"234","Mitsubishi Lancer",425000,"2003"
"235","Toyota Tacoma",6100000,"2016"
"236","Toyota 110",4e+05,"1996"
"237","Honda Turbo",3250000,"2017"
"238","Toyota corolla",2750000,"2015"
"239","Toyota Yaris",950000,"2011"
"240","Honda HRV",3500000,"2017"
"241","Honda Accord",1100000,"2004"
"242","Honda HRV",3500000,"2017"
"243","Nissan Wingroad",890000,"2011"
"244",NA,NA,NA
"245","Honda EXL",3600000,"2015"
"246","Suzuki Swift",1450000,"2015"
"247","BMW 3201",3450000,"2015"
"248","Nissan Latio",1025000,"2012"
"249","Toyota Isis",1500000,"2011"
"250","Honda Fit",1440000,"2013"
"251","Suzuki Swift",1570000,"2015"
"252","Toyota kingfish",850000,"2002"
"253","Toyota camry",230000,"1991"
"254","Subaru Impreza",8e+05,"2007"
"255",NA,NA,NA
"256","BMW X1",2680000,"2010"
"257","Toyota X",2350000,"2012"
"258","Hyundai Tucson",630000,"2006"
"259","Toyota Crown",2620000,"2012"
"260","Nissan Sunny",140000,"1990"
"261","Daihatsu Mira",598000,"2013"
"262","Chrysler Cruiser",480000,"2002"
"263","Toyota Corolla",2020000,"2014"
"264","Toyota Wish",2300000,"2013"
"265","Toyota Vanguard",3050000,"2012"
"266",NA,NA,NA
"267","Mazda Van",1300000,"2014"
"268","Toyota Caldina",730000,"2004"
"269","Hyundai Sonata",2200000,"2012"
"270","Nissan NEG",8e+05,"2011"
"271","Suzuki Alto",480000,"2009"
"272","Toyota X",3300000,"2014"
"273","Toyota Vitz",1450000,"2013"
"274","Honda Crv",1650000,"2006"
"275","Nissan Sunny",350000,"2001"
"276","Nissan X",1800000,"2016"
"277",NA,NA,NA
"278","BMW I",3400000,"2014"
"279","BMW 30I",1250000,"2002"
"280","Volkswagen Tiguan",2600000,"2014"
"281","Toyota 2",220000,"1991"
"282","Honda Civic",1630000,"2010"
