Facility,Year,TotalCrashes,Fatalrashes
Bayonne Bridge,2000,24,0
Bayonne Bridge,2001,19,1
Bayonne Bridge,2002,13,0
Bayonne Bridge,2003,13,0
Bayonne Bridge,2004,11,0
Bayonne Bridge,2005,13,0
Bayonne Bridge,2006,12,0
Bayonne Bridge,2007,14,0
Bayonne Bridge,2008,17,0
Bayonne Bridge,2009,20,0
Bayonne Bridge,2010,19,0
Bayonne Bridge,2011,13,0
Bayonne Bridge,2012,16,0
Bayonne Bridge,2013,16,0
Bayonne Bridge,2014,26,0
Bayonne Bridge,2015,12,0
Goethals Bridge,2000,206,0
Goethals Bridge,2001,224,0
Goethals Bridge,2002,220,0
Goethals Bridge,2003,173,0
Goethals Bridge,2004,151,1
Goethals Bridge,2005,158,1
Goethals Bridge,2006,143,0
Goethals Bridge,2007,156,0
Goethals Bridge,2008,158,0
Goethals Bridge,2009,159,0
Goethals Bridge,2010,151,0
Goethals Bridge,2011,130,0
Goethals Bridge,2012,125,0
Goethals Bridge,2013,109,0
Goethals Bridge,2014,145,0
Goethals Bridge,2015,162,0
Outerbridge Crossing,2000,124,0
Outerbridge Crossing,2001,125,0
Outerbridge Crossing,2002,97,0
Outerbridge Crossing,2003,103,0
Outerbridge Crossing,2004,95,0
Outerbridge Crossing,2005,133,0
Outerbridge Crossing,2006,132,0
Outerbridge Crossing,2007,89,0
Outerbridge Crossing,2008,87,0
Outerbridge Crossing,2009,66,0
Outerbridge Crossing,2010,100,0
Outerbridge Crossing,2011,74,0
Outerbridge Crossing,2012,77,0
Outerbridge Crossing,2013,102,0
Outerbridge Crossing,2014,74,0
Outerbridge Crossing,2015,79,0
Holland Tunnel,2000,1415,1
Holland Tunnel,2001,888,1
Holland Tunnel,2002,743,0
Holland Tunnel,2003,910,0
Holland Tunnel,2004,859,0
Holland Tunnel,2005,809,0
Holland Tunnel,2006,734,0
Holland Tunnel,2007,885,0
Holland Tunnel,2008,883,0
Holland Tunnel,2009,786,0
Holland Tunnel,2010,948,1
Holland Tunnel,2011,880,0
Holland Tunnel,2012,784,0
Holland Tunnel,2013,760,0
Holland Tunnel,2014,769,0
Holland Tunnel,2015,753,0
Lincoln Tunnel,2000,2128,1
Lincoln Tunnel,2001,1898,1
Lincoln Tunnel,2002,1812,1
Lincoln Tunnel,2003,1686,1
Lincoln Tunnel,2004,1689,0
Lincoln Tunnel,2005,1497,0
Lincoln Tunnel,2006,1423,1
Lincoln Tunnel,2007,1666,0
Lincoln Tunnel,2008,1405,0
Lincoln Tunnel,2009,1357,0
Lincoln Tunnel,2010,1349,0
Lincoln Tunnel,2011,1235,1
Lincoln Tunnel,2012,1144,1
Lincoln Tunnel,2013,1178,0
Lincoln Tunnel,2014,1216,2
